id,doi,year,auteurs,title,review,keywords,text,methods,fields,remarque,,,,,,,,,,,,,,,,,,,,,
32,,2019,"Bilro, Ricardo Godinho; Loureiro, Sandra Maria Correia; Guerreiro, João","Exploring online customer engagement with hospitality products and its relationship with involvement, emotional states, experience and brand advocacy",Journal of Hospitality Marketing & Management,"Netnography,online marketing,Social Network Analysis","Opinions published online about a given experience are known to influence consumers’ decisions. However, such opinions reflect different degrees of engagement which may affect the decisions in different forms. The aim of this study is to analyze the dimensions of online customer engagement and associated concepts (involvement, emotional states, experience and brand advocacy) in customers’ online reviews through text-mining and sentiment analysis trends. The current study focuses on Yelp.com comments and includes a random sample of 15,000 unique reviews of restaurants, hotels and nightlife entertainment in eleven cities in the USA. A customer engagement dictionary is created, based on previously validated scales and extended using WordNet 2.1. The research findings reveal a high impact of the engagement cognitive processing dimension and hedonic experience on customers’ review endeavor. Results further indicate that customers seem to be more engaged in positively advocating a company/brand than the contrary. Companies that listen to such feedback may be more able to align with consumers’ expectations and, therefore, have a better competitive advantage in the market.",,,,,,,,,,,,,,,,,,,,,,,,
33,,2019,"Dotzel, Thomas; Shankar, Venkatesh",The Relative Effects of Business-to-Business (vs. Business-to-Consumer) Service Innovations on Firm Value and Firm Risk: An Empirical Analysis,Journal of Marketing,"B2B marketing, finance–marketing interface, innovation, machine learning, natural language processing, services, shareholder value, strategy","Many firms introduce both business-to-business service innovations (B2B-SIs) and business-to-consumer service innovations (B2C-SIs) and need to better allocate their resources. However, they are unsure about B2B-SIs’ effects on firm value or risk, especially relative to those of B2C-SIs. The authors address this problem by developing hypotheses that relate the number of B2B-SIs and B2C-SIs to firm value and firm risk together with the moderators (the number of product innovations and customer-focus innovations). To test the hypotheses, the authors develop and estimate a model using unique panel data of 2,263 SIs across 15 industries over eight years assembled from multiple data sources and controlling for firm- and market-specific factors, heterogeneity, and endogeneity. They analyze innovation announcements using natural language processing. The results show that B2B-SIs have a positive effect on firm value and an insignificant influence on firm risk. Importantly, the effect of a B2B-SI on firm value is significantly greater than that of a B2C-SI. Unlike B2C-SIs, the effect of B2B-SIs on firm value is greater when the firm has more product innovations. Surprisingly, unlike B2C-SIs, the effect of B2B-SIs on firm value is less positive when the SIs emphasize customers. These findings offer important insights about the relative value of B2B-SIs.","topic modeling, econometrics","panel data, services innovation, ",,,,,,,,,,,,,,,,,,,,,,
34,,2019,"Gabel, Sebastian; Guhl, Daniel; Klapper, Daniel",P2V-MAP: Mapping Market Structures for Large Retail Assortments,Journal of Marketing Research,"Market design & structure (Economics),Natural language processing,Big data,Retail industry,Machine learning,big data, machine learning,market structure analysis,product maps,retailing","The authors propose a new, exploratory approach for analyzing market structures that leverages two recent methodological advances in natural language processing and machine learning. They customize a neural network language model to derive latent product attributes by analyzing the co-occurrences of products in shopping baskets. Applying dimensionality reduction to the latent attributes yields a two-dimensional product map. This method is well-suited to retailers because it relies on data that are readily available from their checkout systems and facilitates their analyses of cross-category product complementarity, in addition to within-category substitution. The approach has high usability because it is automated, is scalable and does not require a priori assumptions. Its results are easy to interpret and update as new market basket data are collected. The authors validate their approach both by conducting an extensive simulation study and by comparing their results with those of state-of-the-art, econometric methods for modeling product relationships. The application of this approach using data collected at a leading German grocery retailer underlines its usefulness and provides novel findings that are relevant to assortment-related decisions.",,,,,,,,,,,,,,,,,,,,,,,,
35,,2019,"Hartmann, Jochen; Huppertz, Juliana; Schamp, Christina; Heitmann, Mark",Comparing automated text classification methods,International Journal of Research in Marketing,"Relationship communication, NLP,Social media, Sentiment analysis,Word association analysis, Cluster analysis","Online social media drive the growth of unstructured text data. Many marketing applications require structuring this data at scales non-accessible to human coding, e.g., to detect communication shifts in sentiment or other researcher-defined content categories. Several methods have been proposed to automatically classify unstructured text. This paper compares the performance of ten such approaches (five lexicon-based, five machine learning algorithms) across 41 social media datasets covering major social media platforms, various sample sizes, and languages. So far, marketing research relies predominantly on support vector machines (SVM) and Linguistic Inquiry and Word Count (LIWC). Across all tasks we study, either random forest (RF) or naive Bayes (NB) performs best in terms of correctly uncovering human intuition. In particular, RF exhibits consistently high performance for three-class sentiment, NB for small samples sizes. SVM never outperform the remaining methods. All lexicon-based approaches, LIWC in particular, perform poorly compared with machine learning. In some applications, accuracies only slightly exceed chance. Since additional considerations of text classification choice are also in favor of NB and RF, our results suggest that marketing research can benefit from considering these alternatives.","sentiment, clustering, word association",,,,,,,,,,,,,,,,,,,,,,,
36,,2019,"Li, Yiyi; Xie, Ying",Is a Picture Worth a Thousand Words? An Empirical Study of Image Content and Social Media Engagement,Journal of Marketing Research,"image processing, natural language processing, social media analytics, user-generated content, visual marketing","Are social media posts with pictures more popular than those without? Why do pictures with certain characteristics induce higher engagement than some other pictures? Using data sets of social media posts about major airlines and sport utility vehicle brands collected from Twitter and Instagram, the authors empirically examine the influence of image content on social media engagement. After accounting for selection bias on the inclusion of image content, the authors find a significant and robust positive mere presence effect of image content on user engagement in both product categories on Twitter. They also find that high-quality and professionally shot pictures consistently lead to higher engagement on both platforms for both product categories. However, the effect of colorfulness varies by product category, while the presence of human face and image–text fit can induce higher user engagement on Twitter but not on Instagram. These findings shed light on how to improve social media engagement using image content.",,,,,,,,,,,,,,,,,,,,,,,,
37,,2019,"Liu, Xiao; Lee, Dokyun; Srinivasan, Kannan",Large-Scale Cross-Category Analysis of Consumer Review Content on Sales Conversion Leveraging Deep Learning,Journal of Marketing Research,"Natural language processing, Consumer behavior, Customer orientation, Deep learning,Content analysis, Economic impact analysis, Context effects (Psychology), consumer purchase journey, deep learning, economic impact of text, product reviews, regression discontinuity in time","How consumers use review content has remained opaque due to the unstructured nature of text and the lack of review-reading behavior data. The authors overcome this challenge by applying deep learning–based natural language processing on data that tracks individual-level review reading, searching, and purchasing behaviors on an e-commerce site to investigate how consumers use review content. They extract quality and price content from 500,000 reviews of 600 product categories and achieve two objectives. First, the authors describe consumers' review-content-reading behaviors. Although consumers do not read review content all the time, they do rely on it for products that are expensive or of uncertain quality. Second, the authors quantify the causal impact of read-review content on sales by using supervised deep learning to tag six theory-driven content dimensions and applying a regression discontinuity in time design. They find that aesthetics and price content significantly increase conversion across almost all product categories. Review content has a higher impact on sales when the average rating is higher, ratings variance is lower, the market is more competitive or immature, or brand information is not accessible. A counterfactual simulation suggests that reordering reviews based on content can have the same effect as a 1.6% price cut for boosting conversion",,,,,,,,,,,,,,,,,,,,,,,,
38,,2019,"Mahr, Dominik; Stead, Susan; Odekerken-Schröder, Gaby",Making sense of customer service experiences: a text mining review,Journal of Services Marketing,"Customer experience, multisensory, leximancer, text mining, review, servicescape, service research","The purpose of this paper is to systematically review the concepts and theories underlying customer service experience (CSE) and its underlying five dimensions (physical, social, cognitive, affective and sensorial). In this research, the contribution of the sensorial dimension to CSE research is emphasized. Senses are especially important in forming perceptions within servicescapes that are typically rich in sensory stimuli. This study systematically identifies 258 articles published between 1994 and 2018 in services and marketing journals. The analysis uses a text mining approach with the Leximancer software to extract research concepts and their relationships. The results demonstrate a shift from CSE research focused on brands and products toward value and interaction, around three focal areas: service system architecture, with its value creation processes; servicescape, with an increasingly digital interaction interface and outcome measures, with a stronger focus on emotional and relational metrics. In CSE research, the physical, social and cognitive dimensions are mostly researched in the focal areas of servicescape and outcome measures. Although important in practice, the sensorial dimension is the least investigated CSE dimension in service marketing research. Text mining insights demonstrate rich opportunities for sensorial research, particularly in studies on servicescape. The synthesis will inform managers and service providers which elements of CSE are most relevant to customers when forming perceptions. These insights help service providers to control, manage and design (multi)-sensory stimuli that influence how customers will make sense of the servicescape. This research is one of the first studies to examine the conceptual structure of CSE with a text mining approach that systematically analyzes a large set of articles, therein reducing the potential for researchers’ interpretative bias. The paper provides an assessment of the role of the largely neglected but crucial sensorial dimension, and offers future research suggestions into this emerging topic.",leximancer,literature reviews,,,,,,,,,,,,,,,,,,,,,,
39,,2019,"Melumad, Shiri; Inman, J. Jeffrey; Pham, Michel Tuan",Selectively Emotional: How Smartphone Use Changes User-Generated Content,Journal of Marketing Research,"Smartphones,User-generated content, Natural language processing, Cell phone advertising, Word of mouth advertising, Emotions, Social media, affect, emotion, mobile marketing, social media","User-generated content has become ubiquitous and very influential in the marketplace. Increasingly, this content is generated on smartphones rather than personal computers (PCs). This article argues that because of its physically constrained nature, smartphone (vs. PC) use leads consumers to generate briefer content, which encourages them to focus on the overall gist of their experiences. This focus on gist, in turn, tends to manifest as reviews that emphasize the emotional aspects of an experience in lieu of more specific details. Across five studies—two field studies and three controlled experiments—the authors use natural language processing tools and human assessments to analyze the linguistic characteristics of user-generated content. The findings support the thesis that smartphone use results in the creation of content that is less specific and privileges affect—especially positive affect—relative to PC-generated content. The findings also show that differences in emotional content are driven by the tendency to generate briefer content on smartphones rather than user self-selection, differences in topical content, or timing of writing. Implications for research and practice are discussed.",,"electronics product,",,,,,,,,,,,,,,,,,,,,,,
40,,2019,"Mou, Jian; Ren, Gang; Qin, Chunxiu; Kurcz, Kerry",Understanding the topics of export cross-border e-commerce consumers feedback: an LDA approach,Electronic Commerce Research,"Cross-border e-commerce , Latent Dirichlet Allocation , Text mining ,Consumer feedback, LDA","Cross-border e-commerce (CBEC) has become an important channel to help Chinese firms enter the international market. The recent influx in the development of CEBC has caused a simultaneous influx in accumulation of valuable text data such as consumer feedback. To better understand consumer feedback, we explored the topics of feedback posted directly by customers. We employed the Latent Dirichlet Allocation model to explore the topics focused on most; we found that 35 primary topics were most mentioned by both buyers and sellers.  Based on our findings, the sellers regarded commission, product audit, communication between seller and buyer, order management and traffic  as the most crucial. Buyers mentioned return and refund, product tracking, product description, shipping time, and seller performance significantly more than other topics. This study will help contribute to the understanding of how consumer feedback will help firms in many ways, including but not limited to recovering service and product failures, audit internal functions, and improving product quality.",LDA,,,,,,,,,,,,,,,,,,,,,,,
41,,2019,"Srivastava, Vartika; Kalro, Arti D.",Enhancing the Helpfulness of Online Consumer Reviews: The Role of Latent (Content) Factors,Journal of Interactive Marketing,"Online consumer reviews ,Review helpfulness, Natural language processing, Text mining,Content analysis, Argument quality, Message valence","Past empirical studies have analysed the influence of manifest online review content factors and the reviewer-related factors on online review helpfulness. However, the influence of latent content factors, which are implied from the text and that result in the differential helpfulness perceptions of review receivers, have been ignored. Hence, using the lens of the Elaboration Likelihood Model (ELM), we develop a comprehensive model to study the influence of content- and reviewer-related factors on review helpfulness. This study not only includes the manifest content-related and reviewer-related factors, but also the latent content factors consisting of argument quality (comprehensiveness, clarity, readability and relevance) and message valence. The study initially employs a manual content analysis to analyse the argument quality of ~500 TripAdvisor reviews (Study 1). Subsequently, model testing techniques are used to study the holistic and relative influence of these different factors on review helpfulness. In the validation study (Study 2), Machine Learning and Natural Language Processing techniques are used to extract latent content information and test the above model with 50,000 reviews from Yelp.com. The results show that latent review content variables like argument quality and valence influence the helpfulness of the reviews better and beyond the previously studied, manifest review content- and reviewer-related factors.","ML, sentiment , readability, econometrics","tripAdvisor, yelp, small to large sample",,,,,,,,,,,,,,,,,,,,,,
42,,2019,"Timoshenko, Artem; Hauser, John R.",Identifying Customer Needs from User-Generated Content,Marketing Science,"User-generated content, Qualitative research, Marketing, Machine learning, Consumer preferences, customer needs, deep learning, machine learning, market research, natural language processing, online review, text mining, user-generated content, voice of the customer","We evaluate user-generated content as a source of customer needs and propose and test a machine-learning approach for identifying customer needs more efficiently. Firms traditionally rely on interviews and focus groups to identify customer needs for marketing strategy and product development. User-generated content (UGC) is a promising alternative source for identifying customer needs. However, established methods are neither efficient nor effective for large UGC corpora because much content is noninformative or repetitive. We propose a machine-learning approach to facilitate qualitative analysis by selecting content for efficient review. We use a convolutional neural network to filter out noninformative content and cluster dense sentence embeddings to avoid sampling repetitive content. We further address two key questions: Are UGC-based customer needs comparable to interview-based customer needs? Do the machine-learning methods improve customer-need identification? These comparisons are enabled by a custom data set of customer needs for oral care products identified by professional analysts using industry-standard experiential interviews. The analysts also coded 12,000 UGC sentences to identify which previously identified customer needs and/or new customer needs were articulated in each sentence. We show that (1) UGC is at least as valuable as a source of customer needs for product development, likely more valuable, compared with conventional methods, and (2) machine-learning methods improve efficiency of identifying customer needs from UGC (unique customer needs per unit of professional services cost). Data are available at https://doi-org.proxy.bu.dauphine.fr/10.1287/mksc.2018.1123.",,,,,,,,,,,,,,,,,,,,,,,,
43,,2019,"Toubia, Olivier; Iyengar, Garud; Bunnell, Renée; Lemaire, Alain",Extracting Features of Entertainment Products: A Guided Latent Dirichlet Allocation Approach Informed by the Psychology of Media Consumption,Journal of Marketing Research,"Natural language processing,Cultural industries,Positive psychology,Mass media -- Psychological aspects,Computational linguistics,entertainment industry,media psychology,natural language processing,positive psychology,topic models","The authors propose a quantitative approach for describing entertainment products, in a way that allows for improving the predictive performance of consumer choice models for these products. Their approach is based on the media psychology literature, which suggests that people's consumption of entertainment products is influenced by the psychological themes featured in these products. They classify psychological themes on the basis of the ""character strengths"" taxonomy from the positive psychology literature (Peterson and Seligman 2004). They develop a natural language processing tool, guided latent Dirichlet allocation (LDA), that automatically extracts a set of features of entertainment products from their descriptions. Guided LDA is flexible enough to allow features to be informed by psychological themes while allowing other relevant dimensions to emerge. The authors apply this tool to movies and show that guided LDA features help better predict movie-watching behavior at the individual level. They find this result with both award-winning movies and blockbuster movies. They illustrate the potential of the proposed approach in pure content-based predictive models of consumer behavior, as well as in hybrid predictive models that combine content-based models with collaborative filtering. They also show that guided LDA can improve the performance of models that predict aggregate outcomes",,,,,,,,,,,,,,,,,,,,,,,,
44,,2019,"Vermeer, Susan A.M.; Araujo, Theo; Bernritter, Stefan F.; van Noort, Guda",Seeing the wood for the trees: How machine learning can help firms in identifying relevant electronic word-of-mouth in social media,International Journal of Research in Marketing,"eWOM,Webcare,Social media,Digital marketing strategies,Automated content analysis,Sentiment analysis,Machine learning","The increasing volume of firm-related conversations on social media has made it considerably more difficult for marketers to track and analyse electronic word-of-mouth (eWOM) about brands, products or services. Firms often use sentiment analysis to identify relevant eWOM that requires a response to consequently engage in webcare. In this paper, we show that sentiment analysis of any kind might not be ideal for this purpose, because it relies on the questionable assumption that only negative eWOM is response-worthy and it is not able to infer meaning from text. We propose and test an approach based on supervised machine learning that first decides whether eWOM is relevant for the brand to respond, and then—based on a categorization of seven different types of eWOM (e.g., question, complaint)—classifies three customer satisfaction dimensions. Using a dataset of approximately 60,000 Facebook comments and 11,000 tweets about 16 different brands in eight different industries, we test and compare the efficacy of various sentiment analysis, dictionary-based and machine learning techniques to detect relevant eWOM. In doing so, this study identifies response-worthy eWOM based on the content instead of its expressed sentiment. The results indicate that these machine learning techniques achieve considerably higher accuracy in detecting relevant eWOM on social media compared to any kind of sentiment analysis. Moreover, it is shown that industry-specific classifiers can further improve this process and that algorithms are applicable across different social networks.",,,,,,,,,,,,,,,,,,,,,,,,
45,,2019,"Villarroel Ordenes, Francisco; Grewal, Dhruv; Ludwig, Stephan; Ruyter, Ko De; Mahr, Dominik; Wetzels, Martin",Cutting through Content Clutter: How Speech and Image Acts Drive Consumer Sharing of Social Media Brand Messages,Journal of Consumer Research,"consumer sharing, brand communications, social media, speech act theory, rhetoric, image acts, text mining, message dynamics","Consumer-to-consumer brand message sharing is pivotal for effective social media marketing. Even as companies join social media conversations and generate millions of brand messages, it remains unclear what, how, and when brand messages stand out and prompt sharing by consumers. With a conceptual extension of speech act theory, this study offers a granular assessment of brands’ message intentions (i.e., assertive, expressive, or directive) and the effects on consumer sharing. A text mining study of more than two years of Facebook posts and Twitter tweets by well-known consumer brands empirically demonstrates the impacts of distinct message intentions on consumers’ message sharing. Specifically, the use of rhetorical styles (alliteration and repetitions) and cross-message compositions enhance consumer message sharing. As a further extension, an image-based study demonstrates that the presence of visuals, or so-called image acts, increases the ability to account for message sharing. The findings explicate brand message sharing by consumers and thus offer guidance to content managers for developing more effective conversational strategies in social media marketing.","rhetoric,",,,,,,,,,,,,,,,,,,,,,,,
46,,2019,"Yao, Jianrong; Chen, Jiarui; Wei, June; Chen, Yuangao; Yang, Shuiqing",The relationship between soft information in loan titles and online peer-to-peer lending: evidence from RenRenDai platform,Electronic Commerce Research,"Peer-to-peer lending,  Topic model,  Soft information,   Loan title , Funding success","Online peer-to-peer (P2P) lending is a central component of Internet finance. It can help borrowers raise funds quickly—a particularly useful feature for small and medium enterprises and individuals with no credit on record with a central bank. In this paper, we use data from Chinese RenRenDai lending platform to investigate the relationship between loan purpose and funding success rate. In order to identify the purpose of borrowing from the title of the loan, LDA topic model of text mining technology is applied to make classification for loan titles. Our results indicate that the purpose of the loan has a significant influence on whether the loan is successful. Ambiguity surrounding the loan’s purpose significantly reduces the likelihood of a borrower successfully securing that loan. Loan purpose for business often ensures a higher funding success rate. These results suggest that borrowers should comprehensively fill out the loan title when applying for funding via an online P2P platform. Results also suggest that online P2P platform investors do not blindly invest in others in an attempt to secure high returns.","topic modeling, logit model","P2p lending, Renrendai, large sample",,,,,,,,,,,,,,,,,,,,,,
47,,2019,"Yoon, Sang-Hyeak; Kim, Hee-Woong",What content and context factors lead to selection of a video clip? The heuristic route perspective,Electronic Commerce Research,"Mobile context, Video clip, Sentiment analysis, Heuristic route , Order effect , Bandwagon effect ,  Machine learning , Text mining","The popularity of watching video clips on mobile devices is rapidly increasing. The providers of such video services have developed mobile capabilities and have worked to increase their video selections. This study investigates the effect of the factors of preview content (the thumbnail and the title) and context (the popularity cue and the serial position) on video selection in a mobile context by adopting dual process theory and the model of attention capture and transfer. We performed a logit transformation on the dependent variable, and then applied generalized least squares (GLS) regression to analyze 206,221 logs and 323 thumbnails and titles of a video service. Image and text- mining techniques were used to ascertain the level of valence and response to content. This study has four main findings: (1) low valence but high arousal of a thumbnail has a positive effect on video selection; (2) high valence and arousal by a title has a positive effect on video selection; (3) the upper serial position of a video clip and a high popularity cue have a positive effect on the video selection; and (4) the length and recency of a video have a positive effect on the video selection. The results of this study suggest practical implications to help the programming and marketing strategy of the video service as well.",,,,,,,,,,,,,,,,,,,,,,,,
48,,2020,"Baek, Jooa; Choe, Yeongbae; Ok, Chihyung Michael",Determinants of hotel guests’ service experiences: an examination of differences between lifestyle and traditional hotels,Journal of Hospitality Marketing & Management,"Lifestyle, hotel,online review, guest experience,uniqueness,big data , analytics","This study explores hotel guest service experiences by analyzing online reviews using big data analytics. We first summarize frequently mentioned words in online reviews, identify the commonalities on the basis of frequency of word use, and use these factors to compare the contributions to the overall guest experience for lifestyle and traditional hotels. Overall, guestrooms, interaction between employees and guests, and hotel services show different magnitudes of coefficients in lifestyle hotels compared with traditional hotels. Applying sentiment analysis, results indicated that attributes representing negative sentiment affected overall review ratings more than those representing positive sentiment. However, positive and negative employee interactions in the lifestyle hotel segment were more important in the overall reviews than in the traditional hotel segment. This study offers beneficial insights into the uniqueness of lifestyle hotels and future research directions.",,,,,,,,,,,,,,,,,,,,,,,,
49,,2020,"Berger, Jonah; Humphreys, Ashlee; Ludwig, Stephan; Moe, Wendy W.; Netzer, Oded; Schweidel, David A.",Uniting the Tribes: Using Text for Marketing Insight,Journal of Marketing,"Marketing, Press releases, Natural language processing, Sentiment analysis, Text mining (Information retrieval), Marketplaces, Computational linguistics, Machine learning, computational linguistics, interdisciplinary, machine learning, marketing insight, text analysis, text mining","Words are part of almost every marketplace interaction. Online reviews, customer service calls, press releases, marketing communications, and other interactions create a wealth of textual data. But how can marketers best use such data? This article provides an overview of automated textual analysis and details how it can be used to generate marketing insights. The authors discuss how text reflects qualities of the text producer (and the context in which the text was produced) and impacts the audience or text recipient. Next, they discuss how text can be a powerful tool both for prediction and for understanding (i.e., insights). Then, the authors overview methodologies and metrics used in text analysis, providing a set of guidelines and procedures. Finally, they further highlight some common metrics and challenges and discuss how researchers can address issues of internal and external validity. They conclude with a discussion of potential areas for future work. Along the way, the authors note how textual analysis can unite the tribes of marketing. While most marketing problems are interdisciplinary, the field is often fragmented. By involving skills and ideas from each of the subareas of marketing, text analysis has the potential to help unite the field with a common set of tools and approaches.",,,,,,,,,,,,,,,,,,,,,,,,
50,,2020,"Fang, Jiaming; Hu, Lixue; Liu, Xiangqian; Prybutok, Victor R.",Impact of air quality on online restaurant review comprehensiveness,Electronic Commerce Research,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,2020,"Hildebrand, Christian; Efthymiou, Fotis; Busquet, Francesc; Hampton, William H.; Hoffman, Donna L.; Novak, Thomas P.","Voice analytics in business research: Conceptual foundations, acoustic feature extraction, and applications",Journal of Business Research,"Natural language processing, Voice-controlled interfaces, Emotion detection, Acoustic markers of emotion","Recent advances in artificial intelligence and natural language processing are gradually transforming how humans search, shop, and express their preferences. Leveraging the new affordances and modalities of human–machine interaction through voice-controlled interfaces will require a nuanced understanding of the physics and psychology of speech formation as well as the systematic extraction and analysis of vocal features from the human voice. In this paper, we first develop a conceptual framework linking vocal features in the human voice to experiential outcomes and emotional states. We then illustrate the effective processing, editing, analysis, and visualization of voice data based on an Amazon Alexa user interaction, utilizing state-of-the-art signal-processing packages in R. Finally, we offer novel insight into the ways in which business research might employ voice and sound analytics moving forward, including a discussion of the ethical implications of building multi-modal databases for business and society.",signal processing,,,,,,,,,,,,,,,,,,,,,,,
52,,2020,"Kauffmann, Erick; Peral, Jesús; Gil, David; Ferrández, Antonio; Sellers, Ricardo; Mora, Higinio",A framework for big data analytics in commercial social networks: A case study on sentiment analysis and fake review detection for marketing decision-making,Industrial Marketing Management,"Big data analytics,Sentiment analysis,Marketing decisions,High-tech industries,Fake reviews","User-generated content about brands is an important source of big data that can be transformed into valuable information. A huge number of items are reviewed and rated by consumers on a daily basis, and managers have a keen interest in real-time monitoring of this information to improve decision-making. The main challenge is to mine reliable textual consumer opinions, and automatically use them to rate the best products or brands. We propose a framework to automatically analyse these reviews, transforming negative and positive user opinions in a quantitative score. Sentiment analysis was employed to analyse online reviews on Amazon. The Fake Review Detection Framework—FRDF— detects and removes fake reviews using Natural Language Processing technology. The FRDF was tested on reviews of products from high-tech industries. Brands were rated according to consumer sentiment. The findings demonstrate that brand managers and consumers would find this tool useful, in combination with the 5-Star score, for more comprehensive decision-making. For instance, the FRDF ranks the best products by price alongside their respective sentiment value and the 5-Star score.",,,,,,,,,,,,,,,,,,,,,,,,
53,,2020,"Lewis, Clifford; Mehmet, Michael",Does the NPS  reflect consumer sentiment? A qualitative examination of the NPS using a sentiment analysis approach,International Journal of Market Research,"affect, appraisal approach, appreciation, consumer attitude, graduation, judgment, Net Promoter Score, sentiment analysis","The Net Promoter Score (NPS®) is extensively used as a key performance indicator in practice. Although the scale was initially considered to be a predictor of growth, the literature has disproved this assertion. Despite this, it is argued here that the NPS could be used as a measure of brand health if it provided an effective representation of consumer sentiment toward the brand. This research took a respondent perspective to examine if the NPS effectively captured the consumer’s sentiment. Using a questionnaire design, participants were asked to provide a response on an NPS scale, followed by which they were asked to explain why they gave that score. Therein, a sentiment analysis approach was applied and the open-ended responses were coded based on the type and strength of the attitude. The results indicate that at an overall level, the NPS captures the sentiment participants feel toward a brand. However, caution should be used when classifying participants into detractors, passives, and promoters.",,,,,,,,,,,,,,,,,,,,,,,,
54,,2020,"Ma, Liye; Sun, Baohong",Machine learning and AI in marketing – Connecting computing power to human insights,International Journal of Research in Marketing,"Artificial intelligence (AI),Machine learning,Digital marketing,Big data,Unstructured data,Tracking data,Network,Prediction,Interpretation,Marketing theory","Artificial intelligence (AI) agents driven by machine learning algorithms are rapidly transforming the business world, generating heightened interest from researchers. In this paper, we review and call for marketing research to leverage machine learning methods. We provide an overview of common machine learning tasks and methods, and compare them with statistical and econometric methods that marketing researchers traditionally use. We argue that machine learning methods can process large-scale and unstructured data, and have flexible model structures that yield strong predictive performance. Meanwhile, such methods may lack model transparency and interpretability. We discuss salient AI-driven industry trends and practices, and review the still nascent academic marketing literature which uses machine learning methods. More importantly, we present a unified conceptual framework and a multi-faceted research agenda. From five key aspects of empirical marketing research: method, data, usage, issue, and theory, we propose a number of research priorities, including extending machine learning methods and using them as core components in marketing research, using the methods to extract insights from large-scale unstructured, tracking, and network data, using them in transparent fashions for descriptive, causal, and prescriptive analyses, using them to map out customer purchase journeys and develop decision-support capabilities, and connecting the methods to human insights and marketing theories. Opportunities abound for machine learning methods in marketing, and we hope our multi-faceted research agenda will inspire more work in this exciting area.",,,,,,,,,,,,,,,,,,,,,,,,
55,,2020,"Melumad, Shiri; Meyer, Robert",Full Disclosure: How Smartphones Enhance Consumer Self-Disclosure,Journal of Marketing,"natural language processing, self-disclosure, technology, user-generated content","Results from three large-scale field studies and two controlled experiments show that consumers tend to be more self-disclosing when generating content on their smartphone versus personal computer. This tendency is found in a wide range of domains including social media posts, online restaurant reviews, open-ended survey responses, and compliance with requests for personal information in web advertisements. The authors show that this increased willingness to self-disclose on one’s smartphone arises from the psychological effects of two distinguishing properties of the device: (1) feelings of comfort that many associate with their smartphone and (2) a tendency to narrowly focus attention on the disclosure task at hand due to the relative difficulty of generating content on the smaller device. The enhancing effect of smartphones on self-disclosure yields several important marketing implications, including the creation of content that is perceived as more persuasive by outside readers. The authors explore implications for how these findings can be strategically leveraged by managers, including how they may generalize to other emerging technologies.",,,,,,,,,,,,,,,,,,,,,,,,
56,,2020,"Mitra, Satanik; Jenamani, Mamata",OBIM: A computational model to estimate brand image from online consumer review,Journal of Business Research,Brand imageOnline consumer reviewAspect-based sentiment analysisCo-Word network analysisSWOTSenti-Concept Mapper,"Brand image is comprehended in consumers’ mind through favourability, strength, and uniqueness of brand associations. In this paper, a model is proposed to quantify Online Brand IMage (OBIM) from consumer reviews. We consider the product aspects as a brand association. Natural language processing techniques are used to extract those associations. Favourability, strength, and uniqueness of the extracted associations are computed using sentiment and co-word network analysis. Finally, the multiplicative sum of these values considers as the OBIM score. It can be used as a measure of consumer perception, which apprehends the relation between the association and their changes over time. The proposed model is demonstrated using a dataset of five mobile phones crawled from Amazon. Two applications of OBIM score, Association Based SWOT analysis and Senti-Concept Mapper technique to discover hidden concepts, are proposed. It shows how these techniques can support the decision-making process of marketers.",,,,,,,,,,,,,,,,,,,,,,,,
57,10.1080/0267257X.2020.1764080,2020,"Nadeau, John; Rutter, Richard; Lettice, Fiona",Social media responses and brand personality in product and moral harm crises: why waste a good crisis?,Journal of Marketing Management,"brand management,consumer sentiment,social media,balance theory,brand personality","The purpose of this research is to understand the process of attitudinal changes towards a brand in crisis and the brand’s communication around the crisis by utilising balance theory and brand personality. Four crisis case studies were selected and data was collected from brands’ Twitter platforms on either side of the crisis event horizon. Results demonstrate an opportunity to update the balance theory approach in a crisis by considering the type of crisis (product harm vs. moral harm) relative to brand personality (brand competence vs. brand character). Balance theory helps explain how consumer attitude changes occur through a crisis. Further, the mapping of brand communications in social media over four selected case studies show that brand personality identity can change as a result of a crisis and demonstrate how brand managers can actively frame their online communication to help the brand to recover more effectively from a crisis.",Sentiment analysis,"API twitter, very large sample",,,,,,,,,,,,,,,,,,,,,,
